Date;time;magx;magy;magz;lat;long;gpitch;groll;gyaw
09/04/2020;22:22:31;19,03822853;-43,86896974;2,842288256;17,3776226;20,78036308;311,4661067;175,409913;51,70844572
09/04/2020;22:22:34;18,89190368;-43,74704403;2,613758326;17,37184715;20,94817734;292,97534;269,9647947;349,1638852
09/04/2020;22:22:37;18,69665418;-43,58484411;2,430955172;17,23512459;20,87321472;323,4522861;337,8950046;315,5163474
09/04/2020;22:22:40;18,55010906;-43,46346482;2,372752905;16,98474503;20,73654938;358,1262492;14,35854662;326,3771815
09/04/2020;22:22:43;18,40346831;-43,34231776;2,085755348;16,69882965;20,54734612;18,00064937;59,04325609;356,8904469
09/04/2020;22:22:46;18,25673536;-43,2213995;2,059764624;16,85449028;20,61008072;9,055376863;107,2974293;32,66723752
09/04/2020;22:22:50;18,10991191;-43,10071006;1,872514963;16,83128548;20,71358681;338,5042984;144,655306;52,06857427
09/04/2020;22:22:53;17,96299624;-42,9802426;1,7124511;16,75974083;20,71451759;302,8066153;188,4486931;46,29055184
09/04/2020;22:22:56;17,81599179;-42,85999712;1,419419527;16,9503727;20,60494614;297,5624336;296,3202886;330,7904228
09/04/2020;22:22:59;17,66889854;-42,73997362;1,158817172;17,1089077;20,36468697;332,159635;347,6992878;316,1379629
09/04/2020;22:23:02;17,47263818;-42,58027697;1,03868556;16,91020584;20,46978188;4,715448197;24,12953691;332,3777963
09/04/2020;22:23:05;17,32534174;-42,4607589;1,690712929;16,94186783;20,42418289;18,1436206;71,0973925;6,517004506
09/04/2020;22:23:08;17,17795991;-42,34145257;1,436954618;16,89442635;20,29220581;2,737146443;116,936199;39,48426833
09/04/2020;22:23:11;17,03049271;-42,22235456;0,953929782;17,01765251;20,51931381;329,7700608;153,1567742;54,40644215
09/04/2020;22:23:15;16,88294355;-42,10346829;0,620551527;17,24685097;20,27840233;295,7281931;208,2841225;35,09369979
09/04/2020;22:23:18;16,73530901;-41,98478692;0,08105091;17,40597534;20,18519592;304,7443331;313,1753342;321,9518575
09/04/2020;22:23:21;16,58759422;-41,86631046;-0,224791616;17,29750443;20,15643692;340,7263861;355,7489419;318,4367894
09/04/2020;22:23:24;16,43979746;-41,74803549;-0,429011256;17,14286995;20,03502846;9,96648141;34,13457047;339,4957926
09/04/2020;22:23:27;16,24261161;-41,59064744;-0,625324428;17,22315979;20,24704933;16,59156598;83,54239332;16,2197134
09/04/2020;22:23:30;16,09463044;-41,47283692;-0,850578308;17,26622772;20,26117897;355,0787198;126,577899;45,22106374
09/04/2020;22:23:33;15,94657072;-41,35522107;-0,974288225;17,40301514;20,20842552;319,9496627;163,0474482;54,88470908
09/04/2020;22:23:36;15,79843246;-41,23779987;-1,032715321;17,4256897;19,91726494;291,2301242;238,8821542;13,01705819
09/04/2020;22:23:40;15,65022077;-41,12056992;-1,268743277;17,42917442;19,85494423;314,4811298;328,9679781;316,6780499
09/04/2020;22:23:43;15,50193053;-41,0035278;-1,388783336;17,35313416;20,19196892;349,9207564;6,205973059;322,6202905
09/04/2020;22:23:46;15,35356857;-40,8866735;-1,402794957;17,18650627;20,35402489;14,90412164;47,34157451;349,2471205
09/04/2020;22:23:49;15,15563652;-40,73115693;-1,388863802;17,11536598;20,53247452;13,03859634;96,63855023;26,39597468
09/04/2020;22:23:52;15,00710211;-40,61472952;-1,479659438;17,02115822;20,45707321;345,9263158;137,2672133;50,67160934
09/04/2020;22:23:55;14,85849768;-40,49848653;-1,946912289;16,81923485;20,38360405;309,7224379;176,1798529;52,5993107
09/04/2020;22:23:58;14,70982154;-40,38241771;-2,208894968;16,75676727;20,44020844;292,8677236;275,101336;346,6599797
09/04/2020;22:24:02;14,56107539;-40,26652648;-2,304069042;16,81151199;20,48529816;325,2862671;341,1094094;316,2789927
09/04/2020;22:24:05;14,41226093;-40,15080941;-2,38466835;17,01464462;20,55472565;359,322809;17,21286047;329,1090078
09/04/2020;22:24:08;14,26337732;-40,03526652;-2,557846546;17,22024536;20,77861404;17,87526588;61,84316237;0,46524698
09/04/2020;22:24:11;14,11442626;-39,91989438;-2,703059196;17,35492706;20,4502182;6,854675825;110,1835598;36,04483778
09/04/2020;22:24:14;13,9157224;-39,76632099;-3,008083105;17,43393707;20,27943039;335,2878036;147,3721367;54,02731543
09/04/2020;22:24:17;13,76661766;-39,65133817;-3,228824377;17,3905983;20,40361595;299,676343;195,1417048;44,07018028
09/04/2020;22:24:20;13,61744889;-39,53651927;-3,380042791;17,55600739;20,75838661;299,780237;304,4184443;326,9460372
09/04/2020;22:24:23;13,46821609;-39,42185747;-3,670138359;17,70503235;20,33294487;335,0676324;351,1217095;317,6155787
09/04/2020;22:24:27;13,31892011;-39,3073596;-3,719749689;17,57672691;20,31491852;6,639178661;27,82557084;335,8798273
09/04/2020;22:24:30;13,1695618;-39,19301882;-3,965702534;17,26321411;20,68857956;17,64557003;75,14882166;10,76269705
09/04/2020;22:24:33;13,02014202;-39,07883171;-3,977195263;16,90667343;21,0840683;359,804564;120,3898842;42,79602215
09/04/2020;22:24:36;12,87066248;-38,96480171;-4,295456409;16,92254639;21,1447258;326,0172749;156,7138821;55,64057196
09/04/2020;22:24:39;12,67126364;-38,81299734;-4,412788391;17,13818169;21,03268433;293,2828556;218,5026729;28,53439763
09/04/2020;22:24:42;12,52164493;-38,69931567;-4,634543419;17,16559029;20,96695328;308,2557675;320,525311;319,0087631
09/04/2020;22:24:45;12,37196987;-38,58578426;-4,713074207;17,21694183;20,99215126;344,2779154;0,280821493;319,9016396
09/04/2020;22:24:48;12,22223676;-38,47239629;-5,499348164;17,28335762;21,26720238;12,04050421;39,2940339;342,7066031
